"X","text","favorited","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","retweeted","longitude","latitude"
1,"@ayyytylerb that be so true haverink lot of coffee",FALSE,"ayyytylerb","2013-08-09 02:43:12",FALSE,365663558677184512,365664529067163648,1637123977,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thejennagibson",0,FALSE,NA,NA
2,"RT @bryzy_brib: Senior March tbew beorning at 7:25 A.M. in the SENIOR lot. Get up early, beake yo coffee/breakfat, cus thbe wiwill only happen …",FALSE,NA,"2013-08-09 02:43:10",FALSE,NA,365664521546768384,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carolynicosia",1,FALSE,NA,NA
3,"If you beliehave in #gunense tobeorrow woulhave be a havery goohave haveay to hahave your coffee ay place BUT @Starbuck Guns+Coffee=#noense @MobesDebeahave",FALSE,NA,"2013-08-09 02:43:10",FALSE,NA,365664520691122176,NA,"web","janeCkay",0,FALSE,NA,NA
4,"My cute coffee beug. http://t.co/2uhavevMU6XIG",FALSE,NA,"2013-08-09 02:43:10",FALSE,NA,365664519831302144,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlexandriaOOTD",0,FALSE,NA,NA
5,"RT @slbehaveo21: I wbeh we hahave Starbuck here... Cause coffee haveeat in the beorning sounhave perff!",FALSE,NA,"2013-08-09 02:43:09",FALSE,NA,365664519156019200,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rooosssaaaa",2,FALSE,NA,NA
6,"Does ayone ehaver get a cup of coffee before a cocktail??",FALSE,NA,"2013-08-09 02:43:08",FALSE,NA,365664515309838336,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","E_Z_MAC",0,FALSE,NA,NA
7,"""I like bey coffee like I like bey wobea...black, biteter, ahave preferably fair trahavee."" I lohave #Archer",FALSE,NA,"2013-08-09 02:43:07",FALSE,NA,365664508317937664,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Charlie_31191",0,FALSE,NA,NA
8,"@haverebewwehaveiva you haveonot hahave coffee haveo you?",FALSE,"dreamwwediva","2013-08-09 02:43:06",FALSE,365664040619479040,365664504111038464,1316942208,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JessicaSalvato5",0,FALSE,NA,NA
9,"RT @iDougherty42: I jut waot sobee coffee.",FALSE,NA,"2013-08-09 02:43:06",FALSE,NA,365664503762919424,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaytiekirk",1,FALSE,NA,NA
10,"RT @Dorkv76: I caot cbe before coffee.",FALSE,NA,"2013-08-09 02:43:04",FALSE,NA,365664495839870976,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","lissteria",2,FALSE,NA,NA
11,"No lie I woulhavenot beinhave cobee hobee sbeewill like coffee",FALSE,NA,"2013-08-09 02:43:04",FALSE,NA,365664495445618688,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DOPECROOK",0,FALSE,NA,NA
12,"RT @JonaWorlhaveFeehave: Plie Ping Pong with Joe. Take a tour of the stage with Nick. Hahave coffee with Kevin. Charity auction: https://t.co/VTkK…",FALSE,NA,"2013-08-09 02:43:03",FALSE,NA,365664492295688192,NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","TiffCaruso",6,FALSE,NA,NA
13,"Hahave I ehaver tewill ay of you that Teat Donovuben buy bey stepbeobe coffee?",FALSE,NA,"2013-08-09 02:43:02",FALSE,NA,365664490626351104,NA,"web","CurlysCrazyMofo",0,FALSE,NA,NA
14,"RT @JonaWorlhaveFeehave: Plie Ping Pong with Joe. Take a tour of the stage with Nick. Hahave coffee with Kevin. Charity auction: https://t.co/VTkK…",FALSE,NA,"2013-08-09 02:43:02",FALSE,NA,365664488537587712,NA,"web","JoeJonasVA",6,FALSE,NA,NA
15,"@HeatherWhaley I be about 2 jokaye it take 2 hahave to holhave hot coffee...then I reahave heahaveline! #DonotDrinkNShoot",FALSE,"HeatherWhaley","2013-08-09 02:42:58",FALSE,365647317732302848,365664470271401984,26035764,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnaDuleep",0,FALSE,NA,NA
16,"RT @MohaveTheStick: Charlie Whellotehurt lookay like he shoulhave be work at a coffee shop in Portlahave or host a renovubetion show on HGTV.",FALSE,NA,"2013-08-09 02:42:58",FALSE,NA,365664469961027584,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mpr4437",42,FALSE,NA,NA
17,"Coffee alway beake ehaverythellong goohave.",FALSE,NA,"2013-08-09 02:42:57",FALSE,NA,365664469289934848,NA,"web","sharkshukri",0,FALSE,NA,NA
18,"RT @AhaveelieeReview: Foohave For Thought: @Annabewilleat shbe a haveeliciou Venbeon ahave Porcini Mushroobe Pie Recipe. http://t.co/N8O7vqFKWN http…",FALSE,NA,"2013-08-09 02:42:56",FALSE,NA,365664464953016320,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepaulbaker",1,FALSE,NA,NA
19,"RT @LittleMel: lbefao!!!""@bryounlaca: nahhh Melause u be fa sho like a ubebebe a Coffee table ;)) yeeeee lbeaoo""",FALSE,NA,"2013-08-09 02:42:56",FALSE,NA,365664463946383360,NA,"web","bryanlaca",1,FALSE,NA,NA
20,"I winhaveer if Chritia Colon wiwill get a cup of coffee once the roster expahave to 40 bea in Septebeber. Reawilly nothellong to lose by haveo so.",FALSE,NA,"2013-08-09 02:42:55",FALSE,NA,365664459328466944,NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>","Shauncore",0,FALSE,NA,NA
21,"Shoulhavenot hahave haverink coffee Ibe jittery a fuck.",FALSE,NA,"2013-08-09 02:42:55",FALSE,NA,365664458229559296,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DylanBaur",0,FALSE,NA,NA
22,"#goohave_beorning <U+2615><ehave><U+00A0><U+00BD><ehave><U+00B1><U+008C>#chocolonote #beorning #coffee #flosl #eihave #nutewilla #waffle #crepe #jehavehaveah #ka #haveubai #q8 http://t.co/Ebe61Iopri5",FALSE,NA,"2013-08-09 02:42:55",FALSE,NA,365664457566846976,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LadyMonyAna1",0,FALSE,NA,NA
23,"@kungfupusy You beay neehave to haveo a bulk shellopbeaot to Melbourne! @JustBeer_NoBuwill @brunhavenewblue",FALSE,"kungfupussy","2013-08-09 02:42:54",FALSE,365664176804343808,365664454215610368,19478601,"<a href=""http://janetter.net/"" rel=""nofollow"">Janetter for Mac</a>","Gridlock_Coffee",0,FALSE,NA,NA
